transaction_id,account_id,txn_date,amount,currency,direction,counterparty_country,channel
T0000001,C00001-A1,2023-07-17,89695.79,USD,Debit,RU,Mobile
T0000002,C00001-A1,2023-02-12,28771.99,CHF,Credit,AE,Web
T0000003,C00001-A1,2024-04-30,27176.63,USD,Credit,KY,Mobile
T0000004,C00001-A1,2023-09-29,14389.12,CHF,Credit,MA,Branch
T0000005,C00001-A1,2022-08-28,7100.41,GBP,Credit,KY,Mobile
T0000006,C00001-A1,2022-08-30,59563.76,USD,Credit,US,SEPA Transfer
T0000007,C00001-A1,2024-09-28,10097.35,GBP,Credit,BE,Intl Transfer
T0000008,C00001-A1,2024-10-12,83046.57,GBP,Debit,KP,Web
T0000009,C00001-A1,2022-05-15,12962.46,EUR,Debit,US,Intl Transfer
T0000010,C00001-A1,2023-09-13,73393.67,GBP,Credit,IT,Intl Transfer
T0000011,C00001-A1,2024-12-03,8691.67,GBP,Debit,GB,Intl Transfer
T0000012,C00001-A1,2023-08-10,1632.35,GBP,Credit,ES,Web
T0000013,C00002-A1,2024-09-22,56572.94,EUR,Debit,CN,Intl Transfer
T0000014,C00002-A1,2023-08-30,14262.31,GBP,Debit,BE,Branch
T0000015,C00002-A1,2022-02-08,5036.01,USD,Credit,BR,SEPA Transfer
T0000016,C00002-A1,2022-09-16,31135.43,GBP,Credit,LU,SEPA Transfer
T0000017,C00002-A1,2024-06-18,11633.37,GBP,Credit,BE,Branch
T0000018,C00002-A1,2022-09-19,25787.89,CHF,Credit,US,SEPA Transfer
T0000019,C00002-A1,2024-11-09,35993.92,GBP,Debit,CH,Branch
T0000020,C00002-A1,2024-07-18,68265.29,EUR,Credit,IR,Mobile
T0000021,C00002-A1,2024-08-22,11971.68,CHF,Debit,CN,Intl Transfer
T0000022,C00002-A2,2024-07-16,36956.26,CHF,Credit,BE,Branch
T0000023,C00002-A2,2024-06-18,72088.75,USD,Debit,ES,Intl Transfer
T0000024,C00002-A2,2024-08-03,3637.84,USD,Credit,ES,Branch
T0000025,C00003-A2,2022-02-23,50833.34,CHF,Credit,US,Intl Transfer
T0000026,C00003-A2,2023-05-04,31754.45,GBP,Debit,CN,SEPA Transfer
T0000027,C00003-A2,2024-03-14,43552.95,CHF,Debit,SY,SEPA Transfer
T0000028,C00003-A2,2023-06-18,6680.29,GBP,Debit,CN,Web
T0000029,C00003-A2,2023-02-01,24173.97,USD,Debit,PA,Web
T0000030,C00003-A2,2024-09-07,63998.14,USD,Credit,LU,Mobile
T0000031,C00003-A2,2023-07-21,85940.31,CHF,Debit,MA,SEPA Transfer
T0000032,C00003-A2,2022-05-30,5782.29,EUR,Debit,IR,Intl Transfer
T0000033,C00003-A2,2023-06-22,2902.52,EUR,Debit,TR,Mobile
T0000034,C00003-A2,2023-09-28,43820.58,CHF,Credit,DE,Mobile
T0000035,C00003-A2,2022-02-17,89122.61,GBP,Debit,PA,Intl Transfer
T0000036,C00004-A1,2022-09-21,51393.41,EUR,Debit,GB,Web
T0000037,C00004-A1,2023-10-04,51271.48,USD,Debit,XX,Branch
T0000038,C00004-A1,2023-09-25,1189.24,GBP,Credit,KP,Mobile
T0000039,C00004-A1,2024-08-03,70572.59,CHF,Credit,CN,Intl Transfer
T0000040,C00004-A1,2024-08-01,18461.98,USD,Debit,NG,Web
T0000041,C00004-A1,2024-10-22,64444.88,CHF,Credit,XX,Mobile
T0000042,C00004-A1,2023-10-11,32958.83,CHF,Credit,SY,Mobile
T0000043,C00004-A1,2022-08-01,82848.93,GBP,Credit,AE,Intl Transfer
T0000044,C00004-A1,2022-08-09,89552.3,USD,Debit,IR,Mobile
T0000045,C00004-A2,2024-05-29,59844.91,CHF,Debit,BE,Mobile
T0000046,C00004-A2,2024-04-15,85659.95,EUR,Credit,KP,Web
T0000047,C00004-A2,2022-02-04,27781.35,CHF,Debit,ES,Branch
T0000048,C00005-A1,2024-01-07,15687.41,CHF,Debit,SY,Intl Transfer
T0000049,C00005-A1,2024-09-03,41005.82,CHF,Debit,BE,Intl Transfer
T0000050,C00005-A1,2024-07-22,62740.93,EUR,Debit,KY,Web
T0000051,C00005-A1,2023-11-21,32395.25,USD,Credit,MA,Mobile
T0000052,C00005-A1,2024-10-26,17874.15,USD,Credit,CH,SEPA Transfer
T0000053,C00005-A1,2024-11-17,21691.07,GBP,Debit,DE,Intl Transfer
T0000054,C00005-A1,2023-05-23,26974.62,EUR,Credit,RU,Branch
T0000055,C00005-A1,2023-04-17,4442.93,EUR,Debit,GB,Mobile
T0000056,C00005-A2,2022-08-26,40139.75,GBP,Credit,FR,Web
